,id,neighbourhood_cleansed,city,property_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost,has_wifi,has_kitchen,has_parking,has_tv,has_washer,has_garden,has_balcony,geometry,LSOA11CD,LSOA11NM,Index of Multiple Deprivation (IMD) Score,median_house_price_2020,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
1203,27563570,Ancoats and Clayton,Manchester,Entire apartment,16,3.0,4.0,454.0,1,1125,309,48,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384542.9281702386 398653.6695328624),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
1951,36903049,City Centre,Manchester,Entire townhouse,16,5.0,8.0,404.0,1,1125,321,12,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384389.1957887387 398520.6719592023),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
1170,27153600,Ancoats and Clayton,Manchester,Entire apartment,16,2.0,3.0,640.0,1,1125,0,13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (384592.6177058753 398831.5143757385),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
1162,27041971,Ancoats and Clayton,Manchester,Entire apartment,16,2.0,3.0,439.0,1,1125,323,11,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384586.1756508239 398890.5007268761),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
1416,30371210,Ancoats and Clayton,Manchester,Entire apartment,16,2.0,3.0,454.0,1,1125,282,14,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384548.3201326572 398880.6121883488),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
1189,27300113,Ancoats and Clayton,Manchester,Entire apartment,14,2.0,2.0,336.0,1,1125,0,17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (384622.5107931677 398841.4293400217),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
189,9524152,Ancoats and Clayton,Manchester,Apartment,14,1.5,2.0,150.0,1,1125,339,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384561.3505190344 398823.8342824933),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
185,8519213,Ancoats and Clayton,Manchester,Apartment,14,2.0,3.0,150.0,1,1125,311,30,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384615.37741419 398864.9041009757),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
180,9522753,Ancoats and Clayton,Manchester,Apartment,14,1.5,2.0,150.0,1,1125,334,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384559.9132602012 398791.7533817412),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
200,9663979,Ancoats and Clayton,Manchester,Apartment,10,2.0,2.0,92.0,1,1125,321,11,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384431.9179694422 398800.3224818579),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
856,9874724,City Centre,Manchester,Apartment,10,1.0,2.0,199.0,1,1125,345,6,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384384.3717713426 398511.4765391271),E01033667,Manchester 054E,34.751,199275.0,1,0,0,0
70,2006686,City Centre,Manchester,Private room in apartment,10,2.0,2.0,290.0,1,1125,364,8,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,POINT (384442.1957959253 398493.7948678713),E01033667,Manchester 054E,34.751,199275.0,0,0,1,0
